check,entity,issue,severity,timestamp,cidr,compute_type,extra_data,port,region
Usuarios sin MFA,haljr11,MFA no habilitado,HIGH,2026-04-01T19:15:02.281221,,,,,
Access Key antigua,haljr11,Access Key con 99 días (>90),MEDIUM,2026-04-01T19:15:03.455513,,,"{'key_id': '[REDACTED]', 'age_days': 99}",,
Access Key antigua,haljr11,Access Key con 92 días (>90),MEDIUM,2026-04-01T19:15:03.455513,,,"{'key_id': '[REDACTED]', 'age_days': 92}",,
Access Analyzer deshabilitado,us-east-2,No hay analizadores activos en esta región,MEDIUM,2026-04-01T19:15:55.071256,,,,,us-east-2
Access Analyzer deshabilitado,us-west-1,No hay analizadores activos en esta región,MEDIUM,2026-04-01T19:15:56.798911,,,,,us-west-1
Access Analyzer deshabilitado,us-west-2,No hay analizadores activos en esta región,MEDIUM,2026-04-01T19:15:58.433595,,,,,us-west-2
Access Analyzer deshabilitado,eu-west-1,No hay analizadores activos en esta región,MEDIUM,2026-04-01T19:16:00.160750,,,,,eu-west-1
SG Puerto sensible abierto,launch-wizard-1 (sg-03a2989d564da96ef),Puerto 22 (SSH) abierto a 0.0.0.0/0,CRITICAL,2026-04-01T19:16:36.475583,0.0.0.0/0,EC2,,22,us-east-1
SG Puerto sensible abierto,launch-wizard-3 (sg-08964d829d74b18f6),Puerto 22 (SSH) abierto a 0.0.0.0/0,CRITICAL,2026-04-01T19:16:36.475583,0.0.0.0/0,EC2,,22,us-east-1
SG Puerto sensible abierto,launch-wizard-2 (sg-066a34ceaaad3b6b3),Puerto 22 (SSH) abierto a 0.0.0.0/0,CRITICAL,2026-04-01T19:16:36.475583,0.0.0.0/0,EC2,,22,us-east-1
